Latitud ,Longitud,Magnitud
24.083962,-110.198465,20.53
24.095164,-110.403110,19.43
24.084189,-110.342600,18.85
27.195549,-112.212342,21.26
27.264110,-112.269866,21.17
27.325305,-112.245579,20.50
24.335440,-110.312149,20.88
23.931112,-110.265133,20.68
23.878489,-110.204217,21.03
27.072714,-111.948409,21.328
27.068114,-111.987296,21.264
27.093808,-112.00112,21.266
27.075548,-112.051399,21.29
27.039329,-112.059518,21.268
27.032582,-112.087974,21.154
23.966599,-109.941576,20.91
24.025418,-110.119523,21.02
24.055632,-110.167667,20.73
24.000393,-109.838273,21.3
24.443697,-110.68851,21.33
24.269296,-110.61877,21.37
24.151234,-110.459094,20.74
24.234645,-110.139984,20.88
24.246983,-110.246325,20.49
24.404094,-111.101144,21.46
24.475174,-111.025775,21.49
24.007145,-110.2794540,18.9
24.080742,-110.3052370,18.32
23.697279,-110.1240690,21.16
23.745742,-110.1127620,21.17
24.290833333,-110.3316667,20.22
25.725833333,-111.2461111,21.128
25.812500000,-111.3144444,20.868
25.878055556,-111.3422222,21.26
25.940277778,-111.3530556,21.03
26.025277778,-111.3483333,20.042
27.360833333,-112.7125000,21.36
27.405000000,-112.6366667,21.548
27.429722222,-112.5250000,21.536
24.07145,-110.2794540,18.9
23.697252,-110.124079,21.16
23.745696,-110.112737,21.17
23.549975,-109.532077,20.66
23.581856,-109.6069599,20.84
23.727745,-109.790559,21.32
23.764285,-109.978727,21.43
27.329083,-112.262397,19.652
27.889085,-113.977379,21.222
28.035104,-114.034207,21.166
27.969295,-114.062383,19.85
23.503194,-109.788869,21.45
23.498274,-109.791397,21.36
23.499989,-109.789803,21.35
23.498559,-109.794062,21.54
24.107607,-109.997692,21.24
24.037031,-109.975894,20.72
26.249317,-111.973259,21.85
26.195766,-112.060876,21.74
23.699595,-109.979887,21.48
26.713198,-111.902652,21.73
27.334407,-112.263075,19.6
27.195546,-112.212339,21.528
27.325299,-112.245412,20.612
27.263327,-112.274412,21.39
24.149818,-110.206395,20.17
24.012883,-110.093256,20.91
24.778898,-112.09403,20.518
27.605401,-113.019997,21.23
27.591658,-113.023876,21.046
27.573946,-113.07542,20.948
27.528973,-113.110412,21.032
27.485114,-113.190712,21.034
27.295625,-112.93772,21.07
27.274724,-112.888352,20.962
27.141343,-114.293782,20.29
24.07696,-110.040432,20.73
24.049519,-110.035276,20.78
24.074874,-110.038801,20.52
24.027492,-110.040448,20.93
